Client_ID;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Amt_Chng_Q4_Q1;Total_Trans_Amt;Total_Trans_Ct;Total_Ct_Chng_Q4_Q1;Avg_Utilization_Ratio;Is_Active;Years_on_book;Customer_Age_agg;Total_Trans_Amt_agg;Total_Trans_Ct_agg
719712633;Existing Customer;64;M;1;4. Graduate;Married;1. < $40K;1. Blue;52;6;4;3;1709.0;895;814.0;1.656;1673;32;0.882;0.524;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
720336708;Existing Customer;53;M;3;6. Doctorate;Married;2. $40K - 60K;1. Blue;35;5;3;2;3789.0;1706;2083.0;1.047;1609;42;0.68;0.45;1;(2, 3];(50, 55];(1500, 2000];(40, 50]
779155158;Existing Customer;53;M;3;4. Graduate;Married;5. 120K+;1. Blue;34;6;2;2;2940.0;1264;1676.0;0.562;1259;33;0.5;0.43;1;(2, 3];(50, 55];(1000, 1500];(30, 40]
713572683;Existing Customer;44;M;3;3. High School;Unknown;3. $60K - 80K;1. Blue;25;3;3;0;1862.0;0;1862.0;0.883;1226;34;0.789;0.0;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
716657058;Existing Customer;43;F;4;5. Post-Graduate;Married;1. < $40K;1. Blue;33;2;3;3;8358.0;926;7432.0;0.762;1566;37;0.542;0.111;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
808284783;Existing Customer;62;F;1;7. Unknown;Married;1. < $40K;1. Blue;56;6;0;0;1438.3;0;1438.3;0.813;1951;44;1.095;0.0;1;(4, 5];(55, 75];(1500, 2000];(40, 50]
708476808;Existing Customer;54;M;4;7. Unknown;Divorced;5. 120K+;1. Blue;36;6;3;2;33791.0;1960;31831.0;0.618;1047;31;0.824;0.058;1;(2, 3];(50, 55];(1000, 1500];(30, 40]
710916408;Existing Customer;57;M;4;4. Graduate;Married;3. $60K - 80K;1. Blue;39;4;3;0;8466.0;1886;6580.0;0.56;1342;32;0.391;0.223;1;(3, 4];(55, 75];(1000, 1500];(30, 40]
799825758;Existing Customer;42;M;4;3. High School;Divorced;3. $60K - 80K;1. Blue;36;5;1;2;3263.0;1674;1589.0;0.588;1251;35;0.346;0.513;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
711844758;Existing Customer;48;M;3;4. Graduate;Single;4. $80K - 120K;1. Blue;35;6;1;0;13551.0;1294;12257.0;0.791;1388;37;1.056;0.095;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
826762908;Existing Customer;52;M;3;3. High School;Unknown;4. $80K - 120K;1. Blue;48;3;2;0;11976.0;1273;10703.0;1.024;2089;36;1.118;0.106;1;(3, 4];(50, 55];(2000, 2500];(30, 40]
715259583;Existing Customer;53;F;2;3. High School;Married;1. < $40K;1. Blue;44;3;2;3;5362.0;1901;3461.0;0.816;1553;38;1.0;0.355;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
714877233;Existing Customer;53;M;1;3. High School;Married;4. $80K - 120K;1. Blue;47;3;2;2;12262.0;1836;10426.0;1.584;1659;38;1.533;0.15;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
785387883;Existing Customer;47;F;3;3. High School;Single;2. $40K - 60K;1. Blue;41;4;3;3;3788.0;1540;2248.0;0.566;1594;47;0.382;0.407;1;(3, 4];(45, 50];(1500, 2000];(40, 50]
771075258;Existing Customer;55;M;2;2. College;Single;5. 120K+;2. Silver;42;2;3;2;34516.0;1527;32989.0;0.526;1268;42;0.355;0.044;1;(3, 4];(50, 55];(1000, 1500];(40, 50]
713356833;Existing Customer;52;M;1;4. Graduate;Married;4. $80K - 120K;1. Blue;43;3;1;4;3710.0;2517;1193.0;1.541;1578;34;0.7;0.678;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
711402333;Existing Customer;47;M;2;6. Doctorate;Single;1. < $40K;1. Blue;37;2;1;3;3235.0;797;2438.0;0.541;1493;32;1.0;0.246;1;(3, 4];(45, 50];(1000, 1500];(30, 40]
717721458;Existing Customer;45;M;4;2. College;Divorced;3. $60K - 80K;1. Blue;40;5;1;0;10408.0;1186;9222.0;1.689;2560;42;1.211;0.114;1;(3, 4];(40, 45];(2500, 3000];(40, 50]
716104983;Existing Customer;41;F;2;4. Graduate;Single;1. < $40K;1. Blue;32;6;3;2;2250.0;2117;133.0;1.162;1617;31;2.875;0.941;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
818839983;Existing Customer;55;M;2;4. Graduate;Married;5. 120K+;1. Blue;50;3;2;0;10916.0;1536;9380.0;1.317;1592;34;1.0;0.141;1;(4, 5];(50, 55];(1500, 2000];(30, 40]
712350858;Existing Customer;41;M;2;3. High School;Married;4. $80K - 120K;1. Blue;24;4;1;3;9366.0;1104;8262.0;0.572;1303;39;0.625;0.118;1;(1, 2];(40, 45];(1000, 1500];(30, 40]
712720158;Existing Customer;68;M;1;4. Graduate;Married;6. Unknown;1. Blue;56;5;2;3;13860.0;1652;12208.0;1.255;1910;32;1.909;0.119;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
714133158;Existing Customer;59;F;1;2. College;Single;6. Unknown;1. Blue;36;2;3;3;4224.0;1305;2919.0;0.852;1152;31;0.824;0.309;1;(2, 3];(55, 75];(1000, 1500];(30, 40]
713187033;Existing Customer;46;M;1;1. Uneducated;Married;3. $60K - 80K;1. Blue;36;3;2;2;20459.0;2071;18388.0;1.248;1767;38;2.167;0.101;1;(2, 3];(45, 50];(1500, 2000];(30, 40]
709531908;Existing Customer;53;M;3;3. High School;Married;3. $60K - 80K;1. Blue;47;5;2;2;1438.3;0;1438.3;0.776;2184;53;0.828;0.0;1;(3, 4];(50, 55];(2000, 2500];(50, 60]
716493408;Existing Customer;45;F;4;1. Uneducated;Divorced;6. Unknown;1. Blue;36;4;3;3;15875.0;1719;14156.0;0.86;1592;37;1.467;0.108;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
712608783;Existing Customer;50;M;2;3. High School;Married;4. $80K - 120K;2. Silver;45;3;1;3;34516.0;1260;33256.0;0.588;1504;34;0.789;0.037;1;(3, 4];(45, 50];(1500, 2000];(30, 40]
820353558;Existing Customer;41;F;3;3. High School;Married;2. $40K - 60K;1. Blue;36;4;1;2;9797.0;1434;8363.0;0.644;1503;34;0.478;0.146;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
716264358;Existing Customer;53;M;3;1. Uneducated;Married;4. $80K - 120K;1. Blue;42;2;1;2;26792.0;1836;24956.0;1.432;2398;47;0.88;0.069;1;(3, 4];(50, 55];(2000, 2500];(40, 50]
717296808;Existing Customer;67;F;1;4. Graduate;Married;1. < $40K;1. Blue;56;4;3;2;3006.0;2517;489.0;2.053;1661;32;1.0;0.837;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
815500983;Existing Customer;59;F;1;1. Uneducated;Married;1. < $40K;1. Blue;54;5;3;0;2890.0;2001;889.0;1.334;1860;36;1.0;0.692;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
709701558;Existing Customer;47;M;3;4. Graduate;Married;3. $60K - 80K;1. Blue;36;2;1;2;21331.0;1251;20080.0;0.949;1460;50;1.083;0.059;1;(2, 3];(45, 50];(1000, 1500];(40, 50]
779862408;Existing Customer;49;M;3;5. Post-Graduate;Single;4. $80K - 120K;1. Blue;33;3;1;0;6278.0;462;5816.0;1.161;1087;33;0.941;0.074;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
812627208;Existing Customer;60;F;0;2. College;Single;1. < $40K;1. Blue;55;5;1;3;1438.3;738;700.3;0.782;1226;33;0.571;0.513;1;(4, 5];(55, 75];(1000, 1500];(30, 40]
779956608;Existing Customer;41;F;2;5. Post-Graduate;Married;6. Unknown;1. Blue;31;6;1;3;20758.0;0;20758.0;0.688;1555;32;0.684;0.0;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
717912483;Existing Customer;43;M;4;4. Graduate;Unknown;4. $80K - 120K;1. Blue;27;5;2;0;27259.0;0;27259.0;0.731;1376;35;0.591;0.0;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
714454758;Existing Customer;57;F;3;4. Graduate;Married;1. < $40K;1. Blue;47;4;2;3;6347.0;1594;4753.0;0.896;1771;37;0.762;0.251;1;(3, 4];(55, 75];(1500, 2000];(30, 40]
715735233;Existing Customer;51;F;5;5. Post-Graduate;Married;1. < $40K;1. Blue;44;5;1;1;3449.0;1598;1851.0;0.971;1679;42;0.556;0.463;1;(3, 4];(50, 55];(1500, 2000];(40, 50]
712375758;Existing Customer;53;M;3;1. Uneducated;Married;4. $80K - 120K;1. Blue;43;3;3;1;16393.0;1423;14970.0;1.642;1461;42;0.75;0.087;1;(3, 4];(50, 55];(1000, 1500];(40, 50]
720707283;Existing Customer;48;M;4;7. Unknown;Married;4. $80K - 120K;1. Blue;36;5;3;0;5288.0;866;4422.0;0.869;1777;42;0.75;0.164;1;(2, 3];(45, 50];(1500, 2000];(40, 50]
748326258;Existing Customer;48;M;3;2. College;Married;4. $80K - 120K;1. Blue;41;4;5;3;12302.0;1632;10670.0;1.509;1483;41;0.519;0.133;1;(3, 4];(45, 50];(1000, 1500];(40, 50]
779353083;Existing Customer;47;M;2;4. Graduate;Married;3. $60K - 80K;2. Silver;32;4;2;2;34516.0;1468;33048.0;0.505;1330;32;0.684;0.043;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
809164083;Existing Customer;63;M;1;4. Graduate;Married;2. $40K - 60K;1. Blue;56;2;1;2;2619.0;1779;840.0;1.259;1450;37;0.947;0.679;1;(4, 5];(55, 75];(1000, 1500];(30, 40]
820596183;Existing Customer;58;M;2;2. College;Married;5. 120K+;1. Blue;53;2;3;0;24407.0;2395;22012.0;1.071;2311;48;0.714;0.098;1;(4, 5];(55, 75];(2000, 2500];(40, 50]
805543158;Existing Customer;52;M;3;4. Graduate;Married;5. 120K+;1. Blue;47;5;3;3;11086.0;2207;8879.0;0.869;1523;40;1.105;0.199;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
709752183;Existing Customer;48;M;3;3. High School;Single;3. $60K - 80K;1. Blue;36;4;2;2;11432.0;2517;8915.0;0.615;1374;37;0.762;0.22;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
718876683;Existing Customer;43;F;4;4. Graduate;Single;1. < $40K;1. Blue;31;5;2;0;5781.0;1168;4613.0;0.638;1600;32;0.455;0.202;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
770746908;Existing Customer;44;M;4;7. Unknown;Married;3. $60K - 80K;1. Blue;30;5;1;2;7872.0;2509;5363.0;0.971;1155;32;0.882;0.319;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
794843883;Existing Customer;41;M;3;3. High School;Married;4. $80K - 120K;1. Blue;35;6;1;2;34516.0;1202;33314.0;0.603;1353;33;0.737;0.035;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
758076408;Existing Customer;50;M;2;7. Unknown;Single;2. $40K - 60K;1. Blue;43;2;1;3;1857.0;1603;254.0;0.579;1590;43;1.263;0.863;1;(3, 4];(45, 50];(1500, 2000];(40, 50]
711297483;Existing Customer;47;F;2;1. Uneducated;Divorced;1. < $40K;2. Silver;34;6;4;2;13878.0;2222;11656.0;0.853;1658;38;0.357;0.16;1;(2, 3];(45, 50];(1500, 2000];(30, 40]
788900883;Existing Customer;51;F;2;4. Graduate;Married;1. < $40K;1. Blue;36;3;1;3;3106.0;1304;1802.0;0.604;1368;38;0.407;0.42;1;(2, 3];(50, 55];(1000, 1500];(30, 40]
719437908;Existing Customer;44;M;3;5. Post-Graduate;Divorced;4. $80K - 120K;1. Blue;36;6;2;2;17965.0;1644;16321.0;0.921;1767;50;0.923;0.092;1;(2, 3];(40, 45];(1500, 2000];(40, 50]
709930758;Existing Customer;41;M;2;1. Uneducated;Married;2. $40K - 60K;1. Blue;30;5;3;3;11107.0;1222;9885.0;0.538;1506;33;0.941;0.11;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
789830058;Existing Customer;44;M;4;7. Unknown;Single;4. $80K - 120K;1. Blue;34;4;1;2;21573.0;1585;19988.0;0.621;1384;36;2.273;0.073;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
710741208;Existing Customer;39;M;2;3. High School;Single;4. $80K - 120K;1. Blue;36;4;2;2;5269.0;1475;3794.0;1.148;2094;25;0.667;0.28;1;(2, 3];(35, 40];(2000, 2500];(20, 30]
715341858;Existing Customer;54;M;2;4. Graduate;Married;4. $80K - 120K;1. Blue;46;6;2;3;1982.0;1289;693.0;0.939;1377;49;0.69;0.65;1;(3, 4];(50, 55];(1000, 1500];(40, 50]
793636308;Existing Customer;49;M;3;1. Uneducated;Single;4. $80K - 120K;1. Blue;43;2;2;2;4645.0;1650;2995.0;0.912;1193;33;0.65;0.355;1;(3, 4];(45, 50];(1000, 1500];(30, 40]
713779908;Existing Customer;46;F;3;6. Doctorate;Single;6. Unknown;1. Blue;36;6;3;2;2189.0;1666;523.0;0.343;1287;36;0.636;0.761;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
721022433;Existing Customer;44;M;2;6. Doctorate;Single;3. $60K - 80K;1. Blue;36;5;1;2;7577.0;2480;5097.0;0.435;1409;35;0.167;0.327;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
715952883;Existing Customer;73;M;0;3. High School;Married;2. $40K - 60K;1. Blue;36;5;3;2;4469.0;1125;3344.0;1.363;1765;34;1.615;0.252;1;(2, 3];(55, 75];(1500, 2000];(30, 40]
715432608;Existing Customer;43;M;4;7. Unknown;Single;3. $60K - 80K;1. Blue;36;4;1;0;22322.0;953;21369.0;0.769;1348;34;1.125;0.043;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
799471833;Existing Customer;45;M;1;1. Uneducated;Single;5. 120K+;1. Blue;39;4;2;2;3133.0;1510;1623.0;0.609;1435;38;0.462;0.482;1;(3, 4];(40, 45];(1000, 1500];(30, 40]
788950158;Existing Customer;36;M;2;2. College;Unknown;4. $80K - 120K;1. Blue;22;2;2;3;34516.0;1652;32864.0;0.854;1283;39;1.294;0.048;1;(1, 2];(35, 40];(1000, 1500];(30, 40]
778661358;Existing Customer;46;F;1;7. Unknown;Married;1. < $40K;1. Blue;36;2;3;2;2474.0;2143;331.0;1.53;1541;40;1.0;0.866;1;(2, 3];(45, 50];(1500, 2000];(30, 40]
708528483;Existing Customer;43;F;4;4. Graduate;Divorced;6. Unknown;1. Blue;23;6;3;2;3187.0;2430;757.0;0.617;1387;33;1.357;0.762;1;(1, 2];(40, 45];(1000, 1500];(30, 40]
807226683;Existing Customer;48;M;3;7. Unknown;Single;2. $40K - 60K;1. Blue;43;6;1;3;5279.0;1115;4164.0;0.549;1642;41;0.519;0.211;1;(3, 4];(45, 50];(1500, 2000];(40, 50]
717806133;Existing Customer;40;M;2;1. Uneducated;Divorced;3. $60K - 80K;1. Blue;29;5;3;0;23603.0;0;23603.0;0.795;1382;31;1.067;0.0;1;(2, 3];(35, 40];(1000, 1500];(30, 40]
720615708;Existing Customer;57;M;0;1. Uneducated;Married;2. $40K - 60K;1. Blue;45;6;2;2;2601.0;0;2601.0;0.814;1232;32;0.684;0.0;1;(3, 4];(55, 75];(1000, 1500];(30, 40]
715050408;Existing Customer;41;M;3;3. High School;Single;4. $80K - 120K;1. Blue;36;4;3;3;8029.0;1576;6453.0;0.826;1094;32;0.524;0.196;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
712069008;Existing Customer;42;F;4;1. Uneducated;Married;1. < $40K;1. Blue;23;4;2;0;2260.0;1007;1253.0;0.84;1614;33;0.737;0.446;1;(1, 2];(40, 45];(1500, 2000];(30, 40]
715996983;Existing Customer;47;M;4;1. Uneducated;Divorced;4. $80K - 120K;1. Blue;30;5;2;2;17682.0;2481;15201.0;1.302;1747;31;1.214;0.14;1;(2, 3];(45, 50];(1500, 2000];(30, 40]
798983508;Existing Customer;43;M;1;4. Graduate;Single;4. $80K - 120K;2. Silver;37;4;3;2;34516.0;1440;33076.0;1.117;1575;34;2.4;0.042;1;(3, 4];(40, 45];(1500, 2000];(30, 40]
715085733;Existing Customer;61;M;0;4. Graduate;Married;2. $40K - 60K;1. Blue;52;3;1;2;2939.0;1999;940.0;2.145;2434;33;1.538;0.68;1;(4, 5];(55, 75];(2000, 2500];(30, 40]
788977833;Existing Customer;61;M;0;1. Uneducated;Married;4. $80K - 120K;1. Blue;48;2;1;0;5362.0;1274;4088.0;1.015;1876;41;0.783;0.238;1;(3, 4];(55, 75];(1500, 2000];(40, 50]
709879458;Existing Customer;54;F;3;6. Doctorate;Married;6. Unknown;1. Blue;46;2;2;3;1900.0;1376;524.0;0.89;1881;45;0.607;0.724;1;(3, 4];(50, 55];(1500, 2000];(40, 50]
770632758;Existing Customer;50;F;4;6. Doctorate;Single;6. Unknown;1. Blue;36;2;3;2;2521.0;1608;913.0;0.587;1328;33;0.571;0.638;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
779078733;Existing Customer;55;M;2;6. Doctorate;Married;3. $60K - 80K;1. Blue;36;3;4;3;16427.0;1682;14745.0;0.631;1579;36;1.118;0.102;1;(2, 3];(50, 55];(1500, 2000];(30, 40]
720250158;Existing Customer;45;M;2;2. College;Single;3. $60K - 80K;1. Blue;33;6;3;0;23218.0;1814;21404.0;1.178;1749;37;2.083;0.078;1;(2, 3];(40, 45];(1500, 2000];(30, 40]
713747733;Existing Customer;55;M;2;3. High School;Married;2. $40K - 60K;1. Blue;47;5;3;2;3096.0;2217;879.0;0.799;2011;41;0.783;0.716;1;(3, 4];(50, 55];(2000, 2500];(40, 50]
712270158;Existing Customer;62;F;0;3. High School;Married;2. $40K - 60K;1. Blue;52;5;2;3;2052.0;1250;802.0;0.728;1208;31;0.632;0.609;1;(4, 5];(55, 75];(1000, 1500];(30, 40]
779749908;Existing Customer;48;M;4;2. College;Married;3. $60K - 80K;3. Gold;33;2;2;3;34516.0;2061;32455.0;0.722;1350;32;0.455;0.06;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
717401883;Existing Customer;35;M;3;1. Uneducated;Married;3. $60K - 80K;1. Blue;22;5;2;2;6985.0;1130;5855.0;0.963;1694;44;0.76;0.162;1;(1, 2];(30, 35];(1500, 2000];(40, 50]
721509558;Existing Customer;51;M;2;4. Graduate;Married;5. 120K+;1. Blue;42;3;3;0;24221.0;1707;22514.0;0.816;1678;40;0.538;0.07;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
710572458;Existing Customer;36;F;3;3. High School;Married;6. Unknown;1. Blue;24;4;1;1;15439.0;0;15439.0;0.742;2069;43;0.536;0.0;1;(1, 2];(35, 40];(2000, 2500];(40, 50]
721425558;Existing Customer;52;M;2;4. Graduate;Single;5. 120K+;1. Blue;37;2;3;2;14543.0;0;14543.0;0.788;1536;37;0.423;0.0;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
711109908;Existing Customer;43;F;4;1. Uneducated;Married;1. < $40K;1. Blue;36;2;1;1;9684.0;2475;7209.0;0.697;1400;31;2.1;0.256;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
710027508;Existing Customer;61;M;0;4. Graduate;Married;3. $60K - 80K;1. Blue;54;3;2;0;1616.0;1047;569.0;0.984;1389;33;1.2;0.648;1;(4, 5];(55, 75];(1000, 1500];(30, 40]
783542133;Existing Customer;53;F;3;4. Graduate;Married;1. < $40K;1. Blue;47;5;6;2;2759.0;2223;536.0;1.32;2093;42;1.0;0.806;1;(3, 4];(50, 55];(2000, 2500];(40, 50]
709494483;Existing Customer;63;F;0;7. Unknown;Married;1. < $40K;1. Blue;54;4;2;1;2420.0;1912;508.0;1.256;1730;36;0.565;0.79;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
715812258;Existing Customer;45;M;2;3. High School;Married;4. $80K - 120K;1. Blue;34;5;5;2;12518.0;1539;10979.0;0.645;1165;33;0.833;0.123;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
